Host species,Common Name,Virus family,Virus genus,Virus name,Baltimore classification,Category,NucAcid,Spherical,Filamentous,Pleomorphic,Bullet-form,Lipid Envelope,Fecal.Oral,Fecal.Oral.Reference,Arbovirus,Arbovirus.Reference,Inhalation.Aerosols,Inhalation.Aerosols.Reference,Inhalation.Dust,Inhalation.Dust.Reference,Sexual,Sexual.Reference,Eating,Eating.Reference,Oral.Bloodstream,Oral.Bloodstream.Reference,Breastfeeding,Breastfeeding.Reference,Congenital/vertical,Congenital/vertical.Reference,Germ.line,Germ.line.Reference,Blood.Products,Blood.Products.Reference,Contact.Skin.or.Eye,Contact.Skin.or.Eye.Reference
Gallus gallus,Chicken,Astroviridae,Avastrovirus,"Avian nephritis virus 1,2",IV,,RNA,1,0,0,0,0,1,https://www.merckvetmanual.com/poultry/avian-nephritis-viral-infections/overview-of-avian-nephritis-viral-infections,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,https://www.merckvetmanual.com/poultry/avian-nephritis-viral-infections/overview-of-avian-nephritis-viral-infections,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Gallus gallus,Chicken,Birnaviridae,Avibirnavirus,Infectious bursal disease virus,III,,RNA,1,0,0,0,0,1,PMID: 25892716,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Gallus gallus,Chicken,Coronaviridae,Gammacoronavirus,Avian infectious bronchitis virus,IV,,RNA,1,0,0,0,1,1,PMID: 10935276,0,PubMedNeg,1,PMID: 10935276,0,PubMedNeg,0,PubMedNeg,1,PMID: 10935276,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Gallus gallus,Chicken,Flaviviridae,Flavivirus,St Louis encephalitis virus,IV,,RNA,1,0,0,0,1,0,PubMedNeg,1,PMID: 23474474,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Gallus gallus,Chicken,Hepeviridae,Orthohepevirus,Orthohepevirus B,IV,,RNA,1,0,0,0,0,1,PMID: 28882185,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Gallus gallus,Chicken,Herpesviridae,Mardivirus,Marek's disease virus,I,,DNA,1,0,0,0,1,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID: 17479368,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Gallus gallus,Chicken,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,V,,RNA,0,0,0,1,1,1,"PMID: 9878612, PMID: 19747706",0,PubMedNeg,1,PMID: 19747706,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID: 19747706
Gallus gallus,Chicken,Orthomyxoviridae,Thogotovirus,Batken,V,,RNA,0,0,0,1,1,0,PubMedNeg,1,PMID: 4150914,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Gallus gallus,Chicken,Paramyxoviridae,Avulavirus,Newcastle Disease virus,V,,RNA,1,0,1,1,1,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,"PMID: 25568709, PMID: 25105514"
Gallus gallus,Chicken,Picornaviridae,Tremovirus,Avian encephalomyelitis virus,IV,,RNA,1,0,0,0,0,1,"Studies on avian encephalomyelitis. IV Epizootiology BW Calnek, PJ Taylor, M Sevoian - Avian Diseases, 1960",0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID: 26493005,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Gallus gallus,Chicken,Poxviridae,Avipoxvirus,Fowlpox,I,,DNA,0,0,0,1,1,0,PubMedNeg,1,"PMID: 230416, Fenner, Frank J.; Gibbs, E. Paul J.; Murphy, Frederick A.; Rott, Rudolph; Studdert, Michael J.; White, David O. (1993). Veterinary Virology (2nd ed.). Academic Press, Inc. ISBN 978-0-12-253056-2",1,"Fenner, Frank J.; Gibbs, E. Paul J.; Murphy, Frederick A.; Rott, Rudolph; Studdert, Michael J.; White, David O. (1993). Veterinary Virology (2nd ed.). Academic Press, Inc. ISBN 978-0-12-253056-2",0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,"Fenner, Frank J.; Gibbs, E. Paul J.; Murphy, Frederick A.; Rott, Rudolph; Studdert, Michael J.; White, David O. (1993). Veterinary Virology (2nd ed.). Academic Press, Inc. ISBN 978-0-12-253056-2",0,PubMedNeg
